accuracy,logloss,iteration
0.09500441652762784,0.6931471805599454,1
0.9049955834723722,0.6116048065667393,2
0.9049955834723722,0.5415597254145574,3
0.9049955834723722,0.4825762849981683,4
0.9049955834723722,0.43399697753058286,5
0.9049955834723722,0.39499194304316365,6
0.9049955834723722,0.3646123838961504,7
0.9049955834723722,0.34183738944655095,8
0.9049955834723722,0.32560155277621233,9
0.9049955834723722,0.31478231136247264,10
0.9049955834723722,0.30935000560970244,11
0.9049955834723722,0.30634154564311417,12
0.9049955834723722,0.3042853538788705,13
0.9049955834723722,0.3026239818400937,14
0.9049955834723722,0.3011372304969556,15
0.9049955834723722,0.2997361173432632,16
0.9049955834723722,0.29838443165854517,17
0.9049955834723722,0.2970675330727814,18
0.9049955834723722,0.2957796029911581,19
0.9049955834723722,0.29451837064639025,20
0.9049955834723722,0.2932829342290008,21
0.9049955834723722,0.29207287573016244,22
0.9049955834723722,0.29088791503524486,23
0.9049955834723722,0.28972778504697744,24
0.9049955834723722,0.2885921941348262,25
0.9049955834723722,0.28748082065773095,26
0.9049955834723722,0.2863933175093864,27
0.9049955834723722,0.28532931846286314,28
0.9049955834723722,0.28428844366497996,29
0.9049955834723722,0.2832703037418235,30
0.9049955834723722,0.282274502678614,31
0.9049955834723722,0.2813006397970023,32
0.9050064884788607,0.2803483111269617,33
0.9050064884788607,0.2794171103976619,34
0.9050064884788607,0.27850662980108154,35
0.9050064884788607,0.2776164606270754,36
0.9049955834723722,0.27674619382977256,37
0.9049955834723722,0.27589542055934163,38
0.9049737734593952,0.27506373267670836,39
0.9049519634464183,0.2742507232587649,40
